Word,Meaning
breakneck,(adj.) atibhayānaka;
breakwater,(m.) setubhanda. (nt.)
breast,(m.; nt.) ura. (m.) (of a woman)
breast plate,(m.) uracchada.
breath,(nt.) sasana. (m.) assāsapassāsa.
breathe,(v.i.) sasati; aṇati.
breathe in,(v.i.) assasati.
breathe out,(v.i.) passasati.
breathing,(nt.) pāṇana; āṇāpāṇa.
breathing in,(m.) assāsa. (nt.) āṇa.
breathing out,(m.) passāsa. (nt.) apāṇa.
breathless,(adj.) 1. jīvarahita; 2.
breathlessly,(adv.) atisīghaṃ.
breech,(m.) nitamba; kaṭippadesa.
breeches,(nt.) kaṭivas ana.
breed,(f.) pajā; paramparā. (nt.) apacca.
breeder,(m.) janaka; uppādaka; posaka.
bree ding,(nt.) 1. posaṇa; pālana;
breeze,(m.) mandānila; mandamāruta.
breezeless,(adj.) nivāta.
breezy,(adj.) mandānilayutta.
brethren,(m.; plu.) bhātaro; sahadhammikā.
brevity,(m.) saṅkhepa; samāsa.  brew : (v.t.) majjaṃ sampādeti.
brewage,(nt.) majja. (f.) surā.
brewer,(m.) majjasampādaka.
brewery,(nt.) majjasampādanaṭṭhāna.
bribe,(v.t.) lañcaṃ deti. (pp.) dinnalañca.
bribee,(m.) lañcakhādaka.
briber,(m.) lañcadāyaka.
bribery,(nt.) lañca dāna.
brick,(f.) giñjakā; cayaniṭṭhakā.
brick house,(m.) giñjakāvasatha.
brick layer,(m.) iṭṭhakavaḍḍhakī.
brick maker,(m.) giñjakāsampādaka.
brickbat,(m.) iṭṭhakākhaṇḍa.
bridal,(adj.) vivāhāyatta.
bride,(f.) navavadhū; vivāhābhimukhā.
brideg room,(m.) āvāhaka; pāṇiggāhaka.
bridesmaid,(f.) navavadhūvayassā.
bridesman,(m.) āvāhakasakhā.
bridge,(m.) setu. (nt.) saṅkamaṇa. (v.t.)
bridge of the nose,(f.) nāsāpaṇāḷi.
brid le,(nt.) mukhādhāna; khalīna. (v.t.) 1.
brief,(m.) saṅkhepa; saṅgaha; sāraṃsa.
briefly,(adv.) saṅkhepena; samāsato.
briefn ess,(f.) saṅkhittatā; laghutā; ittaratā.
brigade,(m.) senāvibhāga. (f.) vāhinī.
brigadier,(m.) camūpati.
brigand,(m.) cora; gāmaghātaka.
brigandage,(m.) gāmaghāta. (nt.)
brigandism,(nt.) corakamma.
bright,(adj.) ujjala; samujjal a; bhāsura;
bright half of the month,(m.) juṇha;
brighten,(v.t.) obhāseti; pabhāseti; joteti;
brightness,(f.) juti; ditti; pabhā; ābhā.
brilliance,(f.) kanti; sobhā; juti; ditti; pabhā.
brilliant,(adj.) jutimantu; jutindhara;
brim,(f.) mukhavaṭṭi; titti. (v.t.)
brimful,(adj.) paripuṇṇa; samatittika.
brimstone,(nt.) gandhaka.
brine,(nt.) khāra; loṇajala; assu. (m.)
bring,(v.t.) āharati; āneti; upaneti; pāpeti.
bring about,(v.t.) sādheti; sampādeti.
bring back,(v.t.) paccāharati.
bring down,(v.t.) opāteti; parihāpeti.
bring forth,(v.t.) janeti; uppādeti.
bring forward,(v.t.) abhi nīharati.
bring into,(v.t.) paṭipādeti; nipphādeti.
bring near,"(v,t.) upanāmeti."
bring out,(v.t.) pakāseti; pākaṭīkaroti.
bring to an end,(v.t.) pariyosāpeti.
bring to ruin,(v.t.) vināseti.
bring together,(v.t.) samāgameti; rāsīkaroti.
bring un der,(v.t.) dameti; abhibhavati.
bring up,(v.t.) poseti; paṭijaggati.
bring up to,(v.t.) upaneti.
bringer,(m.) ānetu; upanetu; āharitu.
bringing,(nt.) āharaṇa; ānayana.
bringing up,(nt.) paṭijaggana; posaṇa.
brinjal,(m.) vātiṅgana.
brink,(nt.) tīra; taṭi; kūla. (m.) pariyanta.
brisk,(adj.) turita; avilambita.
briskly,(adv.) khippaṃ; turitaṃ; tuvaṭaṃ;
briskness,(nt.) sīghatta; turitatta.
bristle,(v.i.) haṃsati. (pp.) haṭṭha. (nt.)
Britain,(m.) āngaladsena.
Brit ish,(adj.) āngalika.
brittle,(adj.) bhaṅgura; pabhaṅgu.
brittleness,(nt.) bhaṅguratta.
broach,(nt.) salla; vedhana. (f.) thūpikā. (v.t.)
broad,(adj.) vitthata; vitthiṇṇa; puthula.
broadcas t,(v.t.) pakāseti; pacāreti. (pp.)
broadly,(adv.) bahuso; vitthatākārena.
broadness,(nt.) puthulatta; vepulla. (m.)
broadseal,(f.) rājamuddā.
broadwise,(adv.) tiriyaṃ.  brocade : (f.) pupphavikatikā. (v.t.)
broidery,(f.) suttavikatikā.
broil,(m.) kalaha; viggaha. (nt.)
broken,(adj.) (pp. of break) bhagga; bhinna;
broken b it,(f.) khaṇḍikā.
broken down,(adj.) vilugga; onata.
broken up,(adj.) palugga; pabhagga.
broker,(m.) kayavikkayika; vohārika.
bronchitis,(m.) sāsanāḷikābādha.
bronze,(m.) kaṃsa.
bronze vessel,(m.) kaṃsathāla. (v.t.)
brooch,(f.) urabhūsā.
brood,(v.i.) 1. usmāpeti; 2. parivitakketi;
brook,(f.) kunnadī. (m.) kandara. (v.t.)
broom,(f.) sammajjanī; sammuñjanī.
broom stick,(m.) sammajjanīdaṇḍa.
broth,(m.) sūpa.
brothel,(m.) gaṇikānivāsa.
brother,(m.) 1. bhātu; bhātika; anuja;
brother hood,(m.) nikāya;
brother in law,(m.) sāl a.
brotherless,(adj.) abhātuka.
brotherlike,(adj.) bhātusadisa.
brotherly,(adj.) bhātupemayutta.
brought,(pp. of bring).
brought for trial,(adj.) abhinīta.
brought into contact,(adj.) phassita.
brought near,(adj.) upanīta; upakaṭṭha.
brought together,(adj.) samāhaṭa.
brought up,(adj.) posita; bhata;
brought up to,(adj.) upanāmita.
brow,(f.) bhamu; bhamukā; 2. mukhavaṭṭi.
browbeat,(v.t.) bhākuṭiṃ karoti.
browbeating,(nt.) bhākuṭīkaraṇa.
brown,(adj.) kaṇhapīta ; dark spot: (nt.)
brownish,(adj.) īsaṃpiṅgala.
brownness,(nt.) piṅgalatta.
browse,(m.) navapallava; saddala. (v.t.)
bruin,(m.) bha llūka; issa.
bruise,(nt.) ghaṃsitaṭṭhāna. (v.t.) 1. potheti;
bruit,(f.) pavatti; vāttā. (v.t.) pākaṭīkaroti.
brumous,(adj.) mahikāyutta.
brunt,(m.) pahāravega.
brush,(m.) koccha; vālaṇdupaka. (v.t.)
brush aside,(nt.) atikkāmeti; na sallakkheti.
brush away,(nt.) atikkāmeti; na sallakkheti.
brush wood,(nt.) kubbanaka.
brushy,(adj.) 1. gumbāvuta; 2. bahulomaka.
brusque,(adj.) dandha; avinī ta.
brusquely,(adv.) avinītākārena.
brutal,(adj.) pasutulya; caṇḍa; avinīta.
brutalise,(v.t.) pasutulyaṃ karoti. (pp.)
brutality,(f.) niṭṭhuratā.
brutally,(adv.) niddayaṃ; niṭṭhuraṃ.
brute,(m.) pasu; tiracchāna. (adj.) asabbha;
brutish,(adj.) pasutulya; caṇḍa; avinīta.
brutishize,(v.t.) pasutulyaṃ karoti. (pp.)
brutishly,(adv.) niddayaṃ; niṭṭhuraṃ. (f.)
bubble,(nt.) 1. bubbula; 2. asāravatthu. (v.i.)
bubonic plague,(m.) ahivātakaroga.
buccaneer,(m.) sāmuddikacora.
buck,(m.) miga; hariṇa. (nt.) amarākumina.
buck up,(v.i.) turito bhavati. (pp.) uppatita;
bucket,(nt.) udañ cana.
buckish,(adj.) maṇḍaṇajātika.
buckle,(n.) kuḍuba; gaṇḍaka. (v.t.)
buckler,(nt.) kheṭaka.
bucolic,(adj.) jānapadika.
bud,(m.) makula; koraka || fresh bud:  (m.)
buddhahood,(nt.) buddhatta.
buddhism,(m.) buddhasamaya. (f.)
buddhist,(adj.) buddhabhattika; sogata.
buddhist ca non,(nt.) tipiṭaka.
buddhist monk,(m.) bhikkhu;
budge,(v.i.) apasarati; apeti. (pp.) apasaṭa;
budget,((m.) pasibbaka. (f.)
buff,(nt.) mahisacamma. (v.t.) cammena
buffalo,(m.) mahisa.
buffer,(m.) paṭighātanivāraka.
buffet,(m.) pāṇippahāra; muṭṭhighāta. (v.t.)
buffoon,(m.) hāsaka; vidūsaka. (v.i.) hāsam
buffoonery,(m.) parihāsa; dava.
bug,(m.) maṅkuṇa.
bugbear,(nt.) micchābhayakāraṇa.
buggy,(adj.) maṅkuṇabahula.
bugle,(m.) dhamanavaṃsa. (v.t.) dhameti.
buglery,(m.) sandhiccheda. (nt.) coriya;
build,(v.t.) māpeti; nimmiṇāti;
builder,(m.) navakammika; māpetu; kāraka
building,(nt.) nimmāṇa; ghara.
building material,(m.) dabbasambhāra.
bulb,(m.) 1. kanda; ālu; 2. g oḷaka. (v.i)
bulbous,(adj.) goḷākāra; kandākāra.
bulbul,(m.) 1. gāyakasakuṇa; 2. gāyaka.
bulge,(v.i.) bahi lambati. (pp.) bahi lambita.
bulk,(nt.) parimāṇa; pamāṇa. (m.)
bulky,(adj.) thūla; vaṭhar a; mahākāya.
bull,(m.) balivadda; goṇa; usabha.
bull like,(adj.) āsabha.
bullet,(f.) tipuguḷikā.
bulletin,(nt.) saṅkhitta -nivedana;
bullion,(nt.) hirañña.
bullock,(m.) uddhaṭabīja -usabha .
bully,(m.) sūramānī. (v.t.) hiṃsati; pīḷeti.
bulrush,(m.) vetasa.
bulwark,(m.) uddāpa.
bum,(m.) nitamba.
bump,(m.) 1. paṭighāta; 2.
bumper,(m.) puṇṇacasaka.
bumpkin,(m.) dandha -jānapadika.
bumptious,(adj.) attukkaṃsaka.
bumpy,(adj.) visama.
bun,(m.) addhagoḷapūpa.
bunch,(m.) thabaka; gocc haka. (f.) mañjarī;
bundle,(f.) bhaṇdikā. (m.) kalāpa. (v.t.)
bundle off,(pp.) khippaṃ peseti.
bung,(f.) rodhanī. (v.t.) rodhaniyā pidahati.
bungalow,(nt.) hammiya.
bungle,(v.i.) khalati; pamajjati; ākulīkaroti.
bungler,(n.) adakkha; akovida.
bunion,(m.) pādaphoṭa.
bunny,(m.) sasaka.
bunting,(f.) patākā. (m.) dhajapaṭa.
buoy,(v.i.) plavati. (m.) plava; uḷumpa.
buoyancy,(f.) lahutā; anisīdanatā.
buoyant,(adj.) 1. plavanasīla; anosīdaka; 2.
buoyantly,(adv.) lahukākārena;
burden,(m.) bhāra. (nt.) d hura. (v.t.) bhāram
burden some,(adj.) bhāriya; dukkhama;
burdened,(adj.) vyathita; bhārakkanta.
bureau,(m.) lekhanādhāra; kiccālaya. (nt.)
bureaucratic,(adj.)  pālakamaṇḍalāyatta.
burgeon,(v.i.) aṅkurāyati. (pp.) aṅkurita.
burgh,(nt.) nagara.
burgher,(m.) nagaravāsī; nāgarika.
burglar,(m.) sandhibhedaka; cora.
burgomaster,(m.) nigamasāmī;
burial,(nt.) bhūminidahana.
burke,(v.t.) nigūha ti; pākaṭattaṃ vāreti.
burlesque,(nt.) hāsatthāya anukaraṇa. (adj.)
burly,(adj.) thūlakāya.
burmese,(adj.; n.) marammika;
burn,(nt.) daḍḍhaṭṭhāna. (v.t.) jhāpeti;
burner,(m.) jhāpaka; ḍahaka; vaṭṭidhāraka.
burning,(adj.) dāhakara; accuṇha.
burnish,(v.t.) (parimajjanena) jutimantaṃ
burrow,(nt.) bhūmibila. (v.t.) bilaṃ khaṇati.
bursar,(m.) vijjālaya -bhaḍāgārika.
bursary,(m.) vijjālaya -kosa;
burst,(nt.) bhijjana; palālana; vidāraṇa. (v.i.)
burst forth,(pp.) ubbhijjati.
bury,(v.t.) nikhaṇati; bhūmiyaṃ nidahati.
burying,(nt.) nikhaṇana; b hūminidahana.
bus,(m.) mahāratha.
bush,(m.) gumba; pagumba.
bushel,(m.) aṭṭhadoṇaka.
bushy,(adj.) gumbāvuta.
busily,(adv.) atanditaṃ; analasaṃ.
business,(nt.) kammanta. (m.) vyāpāra. (f.)
businesslike,(adj.) sammāvihita.
buskin,(f.) jaṅghapādukā.
buss,(v.t.) cumbati. (pp.) cumbita.
bust,(m.) uddhakāya; (f.) uddhakāyapaṭimā.
bustle,(m.) kalakala. (v.t.) ussukkāpeti. (v.i.)
busy,(adj.) niccappayutta; bahukicca;
busyness,(f.) bahukiccatā; anokāsatā.
but,(conj.) tathā pi; kin tu. (adv.) eva;
butcher,govikattana.
butcherly,(adv.) vadhakasadisa.
butchery,(nt.) pasughātana; māgavikatta;
butler,(m.) gehabhaṇḍarakkhaka.
butt,(m.) kuṇṭhitakoṇa; upahāsa; parihāsa.
butter,(nt.) nonīta. (v.t.) nonītena yojeti.
butter milk,(nt.) takka.
butterfly,(m.) cittapaṭaṅga.
buttock,(m.) ānisada. (nt.) piṇḍikamaṃsa.
button,(m.) kañcukagaṇṭhi.
button hole,(m.) gaṇṭhipāsa. (v.t.) gaṇṭhiṃ
buttress,(f.) upakārikā.
buxom,(adj.) thūla; surūpa; sobhana;
buy,(v.t.) kiṇāti. (pp.) kī ta.
buyer,(m.) ketu; kayika.
buzz,(m.) jhaṅkāra; kalarava. (v.i.) jhanati;
by,(prep.) generally expressed by the
by and by,(adv.) kamena; anupubbena.
by day,(adv.) divā.
by dint of,(ind.) vāhasā.
by means of,nissāya; paṭicca; hetunā.
by the by,aparañca.
byre,(nt.) goṭṭha.
bystander,(m.) samīpaṭṭhāyī.
byword,(m.) janavāda. (nt.) ābhāṇaka.
bywork,(nt.) appadhānakicca.
cab,(m.) ekassaratha. (v.i.) ekassarathena
cabala,(f.) gūḷhavij jā.
cabbage,(f.) goḷapattikā.
cabbala,(f.) gūḷhavijjā.
cabin,(f.) kuṭi. (m.) nāvovaraka. (v.t.)
cabin boy,(m.) nāvikasevaka.
cabinet,(f.) sacivasabhā. (m.)
cable,(f.) nāvābandhaka -rajju; antodaka -
cablegram,(nt.) antodakasāsana.
caboodle,(m.) sakalasamūha.
cache,(nt.) gutta -paṭisamanaṭṭhāna.
cachet,(nt.) visiṭṭhalañchana.
cachinna te,(v.i.) uccaṃ hasati.
cachinnation,(m.) aṭṭahāsa.
cackle,(nt.) kukkuṭīruta. (f.) nipphalavācā.
cacodemon,(m.) pisāca; asappurisa.
cacography,(nt.) dullikhita.
cacology,(m.) anucitasaddappayoga.
cacophony,(f.) kaṭukassaratā.
cactus,(m.) apattaka -sakaṇṭakagaccha.
cad,(m.) gammajana.
cadaverous,(adj.) chavatulya.
cadence,(f.) parihāni. (nt.) sarasaṅkāmana.
cadet,(m.) kaṇiṭṭha; ādhunikabhaṭa;
cadge,(v.i.) (bhikkhāya) carati.
cadger,(m.) kacchapuṭa -vāṇija.
cadre,(f.) mūlaracanā.
caducity,(nt.) bhaṅguratta.
caducous,(adj.) bhaṅgura.
caesura,(m.) virāma.
cafe,(nt.) peyyamandira.
cage,(m.) pañjara. (v.t.) pañjare khipati. (pp.)
cairn,(f.) citi. (m.) thūpa.
caitiff,(n.; adj.) jamma; kātara.
cajole,(v.t.) lāleti; upalāleti. (pp.) lālita;
cajoler,(m.) upalālaka.
cajolery,(f.) upalālanā.  cake : (m.) pūpa; pūva. (nt.) piṭṭhakhajjaka.
calabash,(f.) alābu; lābu; tumbī.
calamitous,(adj.) anatthāvaha; vipattikara.
calamity,(f.) āpadā; vipatti. (nt.) vyasana.
calcareous,(adj.) sudhāmissaka.
calcify,(v.t.) sudhābhāvaṃ pāpeti. (pp.)
calcine,(v.t.) bhasmikaroti; cuṇṇatt aṃ
calcium,(f.) cuṇṇadhātu; sudhā.
calculable,(adj.) saṅkheyya.
calculate,(v.t.) gaṇeti; saṅkaleti; pamāṇeti;
calculation,(f.) gaṇanā; saṅkhyā; nirūp anā.
calculator,(m.) gaṇaka.
calculous,(adj.) asmarīsahita.
calculus,(f.) asmarī; muttakicchā.
caldron,see cauldron.
calefacient,(adj.) usumajanaka.
calefactive,(adj.) usumajanaka.
calefactory,(nt.) jantāghara.
calendar,(nt.) dinadassana; p añcaṅga. (f.)
calf,(m.) vaccha; potaka. (f.) (of the leg : )
caliban,(m.) manussatiracchāna.
calico,(nt.) kappāsika. (m.) setapaṭa.
calicoprinting,(nt.) paṭacittakamma.
caliph,(m.) mahammad ikanetu.
calix,(f.) pupphakaṇṇikā.
call,(nt.) 1. avhāna; āmantaṇa; 2. āṇāpana; 3.
call back,paccavheti.
call forth,abhineti.
call names,paribhavati.
call on,sammukhībhavati.
call out,abhiyogaṃ karoti.
call over,nāmāni uccāreti or vāceti.
call to account,anuyuñjati.
call to mind,manasikaroti.
call to witness,apadisati; sakkhiṃ karoti.
call upon,sammukhībhavati.
called,(adj.) vutta; abhihita.
calligraphy,(f.) sundaralipi.
calling,(nt.) avhāna; pakkosana. (m.)
callosity,(f.) kathinattacatā.
callous,(adj.) 1. kaṭhina; kakkasa; 2.
callousness,(nt.) kaṭhinatta; kakkhalatta;
callow,(adj.) 1. ajātapatta; 2. akovida;
calm,(f.) santi. (m.) upasama; viveka;
calmly,(adv.) niccalaṃ; santatāya.
calmness,(f.) passaddhi; santi.
caloric,(m.) kāyika -ususma. (nt.) uṇhatta.
calorific,(adj.) usumajanaka; tāpajanaka.
calorification,(nt.) us umajanana.
calorimeter,(nt.) usumamāṇaka.
calumniate,(v.t.) abbhakkhāti;
calumniation,(nt.) abbhakkhāna.
calumniator,(m.) abbhakkhāyī.
calumnious,(adj.) abbhācikkhaka.
calumniously,(adv.) micchāc odanāya;
calumny,(m.) micchopavāda. (nt.)
calyx,see Calix.
cambist,(m.) mūlavinimayakārī.
cambric,(adj.; nt.) dukūla; mudusetavattha.
camel,(m.) oṭṭha.
cameleer,(m.) oṭṭhārohaka.
cameleon,(m.) kakaṇṭaka.
camera,(m.) puggalikagabbha. (nt.)
camlet,(nt.) uṇṇāvattha.
camp,(m.) khandhāvāra.
campaign,(f.) yuddhabhūmi; yuddhāvatthā.
camphor,(m.; nt.) kappūra; ghanasāra.
camphorate,(vt.) kappūrena yojeti. (pp.)
can,(v.i.) sakkoti;  sakkuṇāti. (v.t.) bhājane
canal,(f.) jalamātikā; jalanetti. (v.t.)
canard,(m.) micchāpavāda.  cancel : (v.t.) lopeti; nisedheti. (pp.) lutta;
cancer,(m.) 1. kakkaṭaka; kulīra; 2.
candescent,(adj.) atitatta; accuṇha.
candid,(adj.) avyāja; avaṅka; akapaṭa;
candidate,(m.) apekkhaka; atthika; patthetu.
candidature,(f.) āyācanā; apekkhā.
candidly,(adv.) asaṭhena; ni vyājaṃ.
candidness,"(f.) avyājatā, amāyavitā. (nt.)"
candle,(f.) sitthavaṭṭikā; sitthadīpikā.
candlestick,(m.) sitthadīpādhāra.
candour,(nt.) ajjava; asāṭheyya.
candy,(f.) khaṇḍasakkharā. (v.i.) khaṇḍikā
cane,(nt.) vetta. (f.) vettalatā. (v.t.) vettehi
canicide,(nt.) sunakhamāraṇa. (m.)
canine,(adj.) sunakhāyatta; kukkurīy a.
canine tooth,(f.) dāṭhā.
caniyar,(m.) (tree) kaṇikāra; dumuppala.
canker,(m.) nāsaka -kimi; kimiroga. (nt.)
cankerous,(adj.) dūsaka; nāsaka.
cannibal,(adj.; n.) manussamaṃsa -khādī;
cannibalism,(nt.) sajātimaṃsakhādana.
cannibalistic,(adj.) sajātimaṃsakhādaka.
cannon,(nt.) nāḷīyanta.
cannonade,(nt.) ayoguḷavissajjana. (v.t.)
cannoneer,(m.) nāḷīyantapālaka.
cannot,na sakkoti; na sakkuṇāti; na sakkā.
canny,(adj.) 1. dakkha; catura; 2. mitavaya.
canoe,(f.) doṇi.
canon,(f.) dhammaganthāvali; niyamāvali.
canonical,(adj.) dhammānukūla;
canonically,(adv.) yathādhammaṃ;
canonise,(v.t.) 1. piṭakantogataṃ karoti; 2.
canoodle,(v.i.) āliṇgati. (pp.) āliṇgita.
canopy,(nt.)  vitāna; ulloca. (v.t.) vitānaṃ
cant,(m.) padesikavohāra; visamapassa. (nt.)
cantankerous,(adj.) kalahakāmī.
cantankerousness,(f.) k alahappiyatā.
canteen,(f.) majjasālā. (m.) bhaṭānam āpaṇa.
canter,(v.i.) uppatanto gacchati. (f.)
canto,(m.) pariccheda; vagga.
canton,(m.) bhūmikhaṇḍa; upapadesa. (v.t.)
cantonment,(f.) khandhāvāra;
canvas,(nt.) makacivattha.
canvass,(v.t.) pakkhaṃ gāheti;
canvasser,(m.) pakkhagāhāpaka;
cap,(nt.) sirotāṇa; pidhāna. (m.) nāḷipaṭṭa.
capability,(f.) bhabbatā; samatthatā.
capable,(adj.) samattha; bhabba; khama.
capacious,(adj.) visāla; puthula; vitthiṇṇa.
capaciousness,(nt.) visālatta.
capacitate,(v.t.) bhabbaṃ karoti;
capacity,(f.) dhāraṇasatti. (nt.) sāmatthiya;
caparison,(f.) assakappanā. (m.) assatthara.
cape,(m.) antarīpa. (nt.) uttarakāyāvaraṇa.
caper,(nt.) laṅghana; naccana. (v.i.) laṅghati;
caperer,(m.) laṅghaka.
capillament,(nt.) kesara; kiñjakkha.
capillary,(adj.) kesasama. (f.) sukhuma -sirā.  capital : (nt.) thambhasīsa; mūladhana;
capital punishment,(m.) maraṇavadha.
capitalism,(nt.) dhanabala.
capitalist,(m.) mahaddhanī.
capitalistic,(adj.) dhanabalāyatta.
capit ally,(adv.) mukhyavasena.
capitation,(m.) puggalika -kara.
capitulate,(v.) mithupaṭiññāya sattuvasaṃ
capitulation,(nt.) paṭiññāpubbaka -
caprice,(nt.) cāpalya. (m.) icchācāra.
capricious,(adj.) lolacitta; icchā vasagata.
capriciously,(adv.) lolākārena; cāpallena.
Capricorn,(m.) makararāsi.
caprine,(adj.) ajasama.
capsize,(v.i.) viparivattati; adhomukhī
capsular,(adj.) puṭākāra.
capsule,(m.) bījakosa.
captain,(m.) senānī; daṇḍanāyaka; nāyaka;
captaincy,(nt.) nāyakatta; padhānatta;
caption,(nt.) sahasā rundhana. (f.)
captious,(adj.) randhagavesī; ayathābhūta.
captiousness,(f.) randhagavesitā.
captivate,(v.t.) palobheti; vasīkaroti; moheti.
captivating,(adj.) palobh aka; manohara;
captivation,(nt.) palobhana; vasīkaraṇa.
captive,(n.) bandhanagata; kārābaddha;
captivity,(m.) baddhavāsa; vasībhāva.
captor,(m.) bandhaka; randhaka;
capture,(nt.) rodhana; gahaṇa; bandhana.
car,(m.) ratha. (nt.) sandana.
carafe,(m.) kāca -udakasarāva.
carapace,(nt.) kapālaṭṭhi. (m.) kapāla.
caravan,(m.) vāṇijasattha. (nt.) mahāyāna.
caravan leader,(m.) satthavāha;
caravansary,(f.) pathikasālā. (m.)
caravansera,(f.) pathikasālā. (m.)
caravanserai,(f.) pathikasālā. (m.)
caraway,(nt.) mahājīraka.
carbine,(f.) rassa -aggināḷī.
carbon,(f.) aṅgāradhātu.
carbonaceous,(adj.) aṅgāradhātuyutta.
carbonate,(v.t.) aṅgāradhātukaṃ karoti.
carbonic,(adj.) aṅgāraja.
carbonise,(v.t.) aṅgārattaṃ pāpeti. (pp.)
carbuncle,(m.) hohitaṅka; rattamaṇi;
carcase,(m.) chava; kuṇapa. (nt.) matasarīra.
carcass,(m.) chava; kuṇapa. (nt.) matasarīra.
card,(f.) ghanapaṭṭikā; aṅsullekhanī. (v.t.)
cardamom,(f.) eḷā; bahulā.
cardiac,(adj.) hadayāyatta.
cardinal,(m.) kiṭṭhadhammādhikārī. (adj.)
cardinal number,(f.) suddhasaṅkhyā.
cardinal points,(f.; plu.) catasso disā.
care,(nt.) gopana; rakkhana; pariharaṇa. (f.)
career,(nt.) carita. (f.) cariyā; gati; pakati;
careful,(adj.) appam atta; sāvadhāna;
carefully,(adv.) sādhukaṃ; sakkaccaṃ.
carefulness,(m.) appamāda. (nt.)
careladen,(adj.) khinna; vihesappatta.
careless,(adj.) pamatta; anvadhāna.
carelessly,(adv.) anādaraṃ; asakkacca.
carelessness,(nt.) anādariya. (m.) pamāda.
caress,(nt.) āliṅgana; parissajana. (v.t.)
caretaker,(m.) paripālaka.  careworn : (adj.) khinna; vihesappatta.
cargo,(m.) potabhāra . (nt.)
caricature,(nt.) vikaṭacittakamma. (v.t.)
caricaturist,(m.) vikaṭacittasippī.
carious,(adj.) jiṇṇa; khīyamāna.
carking,(adj.) vihesājanaka.
carline,(f.) mahallikā.
carminative,(adj.) vātanāsaka.
carmine,(m.) lākhārasa. (adj.) lākhāratta.
carnage,(m.) mahāvadha. (nt.)
carnal,(adj.) sāmisa; kāmanissita;
carnal desire,(f.) kāmāsā; visayāsatti.
carnal pleasure,(nt.) kāmasukha.
carnal union,(nt.) methuna. (m.)
carnality,(f.) kāmukatā.
carnally,(adv.) kāmavasena.
carnation,(nt.) maṃsavaṇṇa. (f.)
carnification,(nt.) maṃsavaḍḍhana.
carnival,(m.) samussava; kīḷāchaṇa.
carnivore,(m.) maṃsakhādī.
carnivorous,(adj.) maṃsabhakkha;
carol,(nt.) bhattigīta; ānandagīta. (v.i.)
carouse,(m.) āpānussava. (v.i.) adhikaṃ
carousal,(m.) pānussava.
carp,(v.t.) dosaṃ  gavesati; apavadati. (pp.)
carpenter,(m.) vaḍḍhakī; thapati.
carpenter bee,(m.) bhamara.
carpenter shed,(f.) vaḍḍhakīsālā.
carpentry,(nt.) vaḍḍhakīkamma.
carpet,(m.) kojava. (nt.) bhummattharaṇa.
carpus,(m.) maṇibandha.
carriage,(nt.) yana; vayha. (m.) ratha.
carriage pole,(m.) kuggara.
carriageable,(ad.) yānagamanīya.
carrier,(m.) hāraka; vāhaka; vāhī; hattu.
carrion,(m.) kuṇapa. (nt.) pūtimamsa
carr ion eater,(m.) kuṇapādaka
carry,(v.t.) harati; vahati; neti. (pp.) haṭa;
carry away,(v.t.) apaharati; apavahati.
carry off,(v.t.) apaharati; apavahati.
carry on,(v.t.) pavatteti; niṭṭhāpeti.
carry out,(v.t.) sādheti; niṭṭhāpeti.
carry over,(v.t.) atiharati.
carry tale,(v.t.) kaṇṇe jappati;
carrying,(nt.) haraṇa; vahana.
carrying away,(nt.) nīharaṇa.
carrying out,(nt.) pavattāpana.
carrying pole,(f.) vyābhaṅgī. (m) kāja.
cart,(m.) sakaṭa. (v.t.) sakaṭena  neti. (pp.)
cartage,(nt.) sakaṭavāhamūla.
carter,(m.) sākaṭika.
cartload,(m.) sakaṭabhāra.
cart rut,(m.) cakkamagga.
cart wright,(m.) sakaṭamāpaka; rathakāra.
cartoon,(nt.) vikaṭacitta.
carve,(v.t.) ullikhati; cundakammam karo ti.
carver,(m.) cundakāra; bhamakāra. (nt.)
carving,(nt.) cundakamma.
carry through,(v.t.) sādheti; niṭṭhāpeti.
cascade,(m.) nijjhara.
case,(ind.) asamim; visaye; in both case:
if such be the case,(ind.) yajjevam; in this
this being the case,(ind.) evam sante.
casement,(m.) gavakkha; vātapāna.
cash,(nt.) mūla; jātarūpa. (v.t.) 1. mūlaṃ deti
cashew,(nt.) kacchuphala.
cashier,(m.) mūlapaṭiggāhaka;
cashmere,(nt.) kasmīrajavattha.
casino,(nt.) mahājanaraṅgamaṇḍala.
cask,(nt.) dārubhājana.
casket,(m.) karaṇḍa; samugga; caṅgoṭaka.
cassava,(m.) āluvagaccha.  Cassia Fistula : (m.) rājarukkha.
cast,(m.) khepa; rūpakara. (nt.) chaḍḍana;
cast aside,(v.t.) paṭikkhipati; paccakkhāti.
cast away,(v.t.) chaḍḍeti.
cast forth,(v.t.) ussajati; vamati.
cast glances,(v.t.) diṭṭhim pāteti.
cast lots,(v.t.) salākampāteti.
cast off,(v.t.) apakaḍḍhati.
cast out,(v.t.) nikkaḍḍhati.
castaway,(n.; adj.) bahikata; chaḍḍitaka.
caste,(m.) kula; vaṇṇa || of the low caste:
castigate,(v.t.) niggaṇhāti. (pp.) niggaṇhita.
castigation,(m.) nig gaha. (nt.) niggaṇhaṇa.
casting,(nt.) khipana. (m.) khepa.
casting off,(m.) nikkhepa.
casting vote,(m.) niṇṇaya -chanda.
